qid,difficulty,problem,answer_option_list,answer_value,tag
713,1,Which of these numbers is a factor of $12$? ,"[[{'aoVal': 'A', 'content': '$$24$$ '}], [{'aoVal': 'B', 'content': '$$5$$ '}], [{'aoVal': 'C', 'content': '$$10$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",D,Basic Concepts of Factors and Multiples
714,0,"In the $$3$$-digit number $$2M4$$ is divisible by $$6$$, what is the smallest value of the digit $$M$$? ","[[{'aoVal': 'A', 'content': '$$0$$ '}], [{'aoVal': 'B', 'content': '$$3$$ '}], [{'aoVal': 'C', 'content': '$$6$$ '}], [{'aoVal': 'D', 'content': '$$9$$ '}], [{'aoVal': 'E', 'content': 'None of the above '}]]",A,Division without Remainders
718,1,"When my number is divided by $$3$$, I have a quotient of $$15$$ and a remainder of $$2$$.  What number am I? ","[[{'aoVal': 'A', 'content': '$$7$$ '}], [{'aoVal': 'B', 'content': '$$33$$ '}], [{'aoVal': 'C', 'content': '$$43$$ '}], [{'aoVal': 'D', 'content': '$$47$$ '}]]",D,Questions involving Divisions with Remainders
719,1,Which of the following is the correct expression of the base-$7$ numeral system? ,"[[{'aoVal': 'A', 'content': '$\\left (3423\\right )\\_5$ '}], [{'aoVal': 'B', 'content': '$\\left (5143\\right )\\_6$ '}], [{'aoVal': 'C', 'content': '$\\left (3256\\right )\\_7$ '}], [{'aoVal': 'D', 'content': '$\\left (3639\\right )\\_7$ '}]]",C,Properties and Applications of Number Bases
720,1,The correct prime factorization of number $84$ is ． ,"[[{'aoVal': 'A', 'content': '$$1\\times 2\\times 2\\times 2\\times 7$$ '}], [{'aoVal': 'B', 'content': '$$14\\times 6$$ '}], [{'aoVal': 'C', 'content': '$$7\\times 12$$ '}], [{'aoVal': 'D', 'content': '$$2\\times 2\\times 3\\times 7$$ '}]]",D,Prime Factorization
722,0,Which of the following is a factor of $21$? ,"[[{'aoVal': 'A', 'content': '$$9$$ '}], [{'aoVal': 'B', 'content': '$$7$$ '}], [{'aoVal': 'C', 'content': '$$5$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",B,Prime and Composite Numbers
725,1,A number when divided by $$5$$ has a quotient of $$62$$ and a remainder of $$3$$.  What is the number? ,"[[{'aoVal': 'A', 'content': '$$186$$ '}], [{'aoVal': 'B', 'content': '$$191$$ '}], [{'aoVal': 'C', 'content': '$$310$$ '}], [{'aoVal': 'D', 'content': '$$313$$ '}]]",D,Questions involving Divisions with Remainders
728,1,What is the square root of the number whose square is $$16$$? ,"[[{'aoVal': 'A', 'content': '$$2$$ '}], [{'aoVal': 'B', 'content': '$$4$$ '}], [{'aoVal': 'C', 'content': '$$\\sqrt{{8}}$$ '}], [{'aoVal': 'D', 'content': '$$16$$ '}]]",B,Basic Applications of Square Numbers
737,1,Which of the following numbers is divisible by $$4$$? ,"[[{'aoVal': 'A', 'content': '$$5783954$$ '}], [{'aoVal': 'B', 'content': '$$1090196$$ '}], [{'aoVal': 'C', 'content': '$$742826$$ '}], [{'aoVal': 'D', 'content': '$$9928962$$ '}]]",B,Divisibility Rules
739,1,Which \textbf{ONE~}of the following numbers is \textbf{NOT} divisible by $$3$$? ,"[[{'aoVal': 'A', 'content': '$$18171$$ '}], [{'aoVal': 'B', 'content': '$$44481$$ '}], [{'aoVal': 'C', 'content': '$$38501$$ '}], [{'aoVal': 'D', 'content': '$$57060$$ '}]]",C,Simple Questions of Division without Remainders
742,2,"The smallest positive integer greater than 1 that leaves a remainder of 1 when divided by 4, 5, and 6 lies between which of the following pairs of numbers? ","[[{'aoVal': 'A', 'content': '2 and 19 '}], [{'aoVal': 'B', 'content': '20 and 39 '}], [{'aoVal': 'C', 'content': '40 and 59 '}], [{'aoVal': 'D', 'content': '60 and 79 '}], [{'aoVal': 'E', 'content': '80 and 124 '}]]",D,Division without Remainders
743,2,Elmo is packing 107 cookies. He wants to put 5 cookies in each plastic bag. How many cookies will not be packed into plastic bags? ,"[[{'aoVal': 'A', 'content': '$$0$$ '}], [{'aoVal': 'B', 'content': '$$1$$ '}], [{'aoVal': 'C', 'content': '$$2$$ '}], [{'aoVal': 'D', 'content': '$$3$$ '}], [{'aoVal': 'E', 'content': '$$4$$ '}]]",C,Divisibility Rules
744,0,Which of the following is a factor of 36? ,"[[{'aoVal': 'A', 'content': '$2\\times18$ '}], [{'aoVal': 'B', 'content': '$2\\times16$ '}], [{'aoVal': 'C', 'content': '$4\\times5$ '}], [{'aoVal': 'D', 'content': '$6\\times5$ '}]]",A,Factors and Multiples
745,1,"In the number $$67 543$$, the digit~\uline{~~~~~~~~~~}~is in the ten thousands place. ","[[{'aoVal': 'A', 'content': '$$7$$ '}], [{'aoVal': 'B', 'content': '$$6$$ '}], [{'aoVal': 'C', 'content': '$$5$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",B,Numbers
751,1,? ,"[[{'aoVal': 'A', 'content': 'a '}], [{'aoVal': 'B', 'content': 'b '}]]",B,Division without Remainders
754,1,? ,"[[{'aoVal': 'A', 'content': 'a '}], [{'aoVal': 'B', 'content': 'b '}], [{'aoVal': 'C', 'content': 'c '}], [{'aoVal': 'D', 'content': 'd '}]]",D,Place Value and Number Bases
756,0,In the number $2.369$ what does the $6$ mean? ,"[[{'aoVal': 'A', 'content': '$$6$$ '}], [{'aoVal': 'B', 'content': '$\\dfrac{6}{1000}$ '}], [{'aoVal': 'C', 'content': '$\\dfrac{6}{10}$ '}], [{'aoVal': 'D', 'content': '$\\dfrac{6}{100}$ '}]]",D,Understanding Numbers and Digits
757,1,Simplify the following fraction using GCF:  $\dfrac{16}{54}=$ ,"[[{'aoVal': 'A', 'content': '$\\dfrac{1}{4}$ '}], [{'aoVal': 'B', 'content': '$\\dfrac{2}{7}$ '}], [{'aoVal': 'C', 'content': '$\\dfrac{4}{14}$ '}], [{'aoVal': 'D', 'content': '$\\dfrac{8}{27}$ '}]]",D,Common Factors and the Greatest Common Factors
759,1,"In a car race, George was $$50$$ metres behind Chris and $$40$$ metres ahead of John. Emma was $$60$$ metres behind George. What is the distance between the first car and the last car? ","[[{'aoVal': 'A', 'content': '$$90m$$ '}], [{'aoVal': 'B', 'content': '$$170m$$ '}], [{'aoVal': 'C', 'content': '$$150m$$ '}], [{'aoVal': 'D', 'content': '$$114m$$ '}], [{'aoVal': 'E', 'content': '$$110m$$ '}]]",E,Number Theory Modules
761,1,There are~\uline{~~~~~~~~~~}~common multiples of $$6$$ and $$8$$ that are smaller than $$50$$. ,"[[{'aoVal': 'A', 'content': '$$1$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}], [{'aoVal': 'C', 'content': '$$3$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",B,Common Factors and Common Multiples
765,1,"If~no adjacent digits that are identical are written down, then how many digits are required to write down the numbers from $$5$$ to $$85$$? ","[[{'aoVal': 'A', 'content': '$$138$$ '}], [{'aoVal': 'B', 'content': '$$139$$ '}], [{'aoVal': 'C', 'content': '$$143$$ '}], [{'aoVal': 'D', 'content': '$$141$$ '}], [{'aoVal': 'E', 'content': '$$142$$ '}]]",C,Number Theory Modules
771,2,"How many perfect cubes lie between $2^{8}+1$ and $2^{18}+1$, inclusive? ","[[{'aoVal': 'A', 'content': '$$4$$ '}], [{'aoVal': 'B', 'content': '$$9$$ '}], [{'aoVal': 'C', 'content': '$$10$$ '}], [{'aoVal': 'D', 'content': '$$57$$ '}], [{'aoVal': 'E', 'content': '$$58$$ '}]]",E,Perfect Square Numbers
773,4,"If the length of a simple pendulum is doubled, its period will ","[[{'aoVal': 'A', 'content': 'decrease by 2 '}], [{'aoVal': 'B', 'content': 'increase by 2 '}], [{'aoVal': 'C', 'content': 'decrease by~$\\sqrt{2}$ '}], [{'aoVal': 'D', 'content': 'increase by~$\\sqrt{2}$ '}]]",D,Number Theory Modules
775,0,Calculate quickly:  $92\div4$~=． ,"[[{'aoVal': 'A', 'content': '$100\\div4-8\\div4$ '}], [{'aoVal': 'B', 'content': '$100\\div4+8\\div4$ '}], [{'aoVal': 'C', 'content': '$92\\div4+8\\div4$ '}]]",A,Division without Remainders
776,1,The sum of the following equation:  （203 + 202 + \ldots\ldots{} + 288）-（49 + 50 + 51 + \ldots\ldots{} + 131） is an~\uline{~~~~~~~~~~}~number. ,"[[{'aoVal': 'A', 'content': 'odd '}], [{'aoVal': 'B', 'content': 'even '}]]",A,Odd and Even Numbers
783,1,"If a four-digit number $$7A2A$$ can be divisible by $15$, the digit that $$A$$ represents is  . ","[[{'aoVal': 'A', 'content': '$$0$$ '}], [{'aoVal': 'B', 'content': '$$3$$ '}], [{'aoVal': 'C', 'content': '$$5$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}], [{'aoVal': 'E', 'content': '$$8$$ '}]]",A,Divisibility Rules
787,1,"If the length of each side of a rectangle increases by $10\textbackslash\%$, by what percentage does the area of the rectangle increase? ","[[{'aoVal': 'A', 'content': '$$42\\textbackslash\\%$$ '}], [{'aoVal': 'B', 'content': '$$21\\textbackslash\\%$$ '}], [{'aoVal': 'C', 'content': '$$10\\textbackslash\\%$$ '}], [{'aoVal': 'D', 'content': '$$10.5\\textbackslash\\%$$ '}], [{'aoVal': 'E', 'content': '$$11\\textbackslash\\%$$ '}]]",B,Number Theory Modules
789,1,$$8000\div4=$$tens. ,"[[{'aoVal': 'A', 'content': '$$20$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}], [{'aoVal': 'C', 'content': '$$200$$ '}], [{'aoVal': 'D', 'content': '$$2000$$ '}]]",C,Mental Calculation Involving Dividing Multi-digit Numbers by 1-digit Numbers
790,1,"If~no adjacent digits that are identical are written down, then how many digits are required to write down the numbers from $$1$$ to $$99$$? ","[[{'aoVal': 'A', 'content': '$$160$$ '}], [{'aoVal': 'B', 'content': '$$173$$ '}], [{'aoVal': 'C', 'content': '$$161$$ '}], [{'aoVal': 'D', 'content': '$$171$$ '}], [{'aoVal': 'E', 'content': '$$170$$ '}]]",D,Number Theory Modules
791,3,Several different positive integers are written on the board. Exactly two of them are divisible by $$2$$ and exactly thirteen of them are divisible by $$13$$. Let $$M$$ be the greatest of these numbers. What is the smallest possible value of $$M$$? ,"[[{'aoVal': 'A', 'content': '$$169$$ '}], [{'aoVal': 'B', 'content': '$$221$$ '}], [{'aoVal': 'C', 'content': '$$247$$ '}], [{'aoVal': 'D', 'content': '$$273$$ '}], [{'aoVal': 'E', 'content': '$$325$$ '}]]",D,Questions Involving Properties of Dividing without Remainders
795,1,"Malcolm wants to visit Isabella after school today and knows the street where she lives but doesn\textquotesingle t know her house number. She tells him, ""My house number has two digits, and exactly three of the following four statements about it are true.""  (1) It is prime.  (2) It is even.  (3) It is divisible by $7$.  (4) One of its digits is $9$.  This information allows Malcolm to determine Isabella\textquotesingle s house number. What is its units digit? ","[[{'aoVal': 'A', 'content': '$$4$$ '}], [{'aoVal': 'B', 'content': '$$6$$ '}], [{'aoVal': 'C', 'content': '$$7$$ '}], [{'aoVal': 'D', 'content': '$$8$$ '}], [{'aoVal': 'E', 'content': '$$9$$ '}]]",D,Number Theory Modules
796,1,The sum of two numbers is 300. One number is 5 times of the other number.  What is the difference between the two numbers? ,"[[{'aoVal': 'A', 'content': '$$50$$ '}], [{'aoVal': 'B', 'content': '$$60$$ '}], [{'aoVal': 'C', 'content': '$$180$$ '}], [{'aoVal': 'D', 'content': '$$200$$ '}], [{'aoVal': 'E', 'content': 'None of the above '}]]",D,Number Theory Modules
800,1,Which of the following numbers is divisible by $$9$$? ,"[[{'aoVal': 'A', 'content': '$$50923$$ '}], [{'aoVal': 'B', 'content': '$$38941$$ '}], [{'aoVal': 'C', 'content': '$$10947$$ '}], [{'aoVal': 'D', 'content': '$$57213$$ '}]]",D,Divisibility Rules
801,0,$$9 132 500 = 9 000 000+132 000+$$$\square$  What is the missing number in the box? ,"[[{'aoVal': 'A', 'content': '$$32500$$ '}], [{'aoVal': 'B', 'content': '$$3250$$ '}], [{'aoVal': 'C', 'content': '$$2500$$ '}], [{'aoVal': 'D', 'content': '$$500$$ '}]]",D,Applying the Principle of Place Value
803,1,"When two pieces of cloth of the same length are sold, the first piece is $10$ meters. When the second piece is sold $7$ meters, the second piece is four times as long as the first one. How many meters are the second cloth originally? ","[[{'aoVal': 'A', 'content': '8; '}], [{'aoVal': 'B', 'content': '$$7$$ '}], [{'aoVal': 'C', 'content': '$$11$$ '}], [{'aoVal': 'D', 'content': '$$13$$ '}], [{'aoVal': 'E', 'content': '$$15$$ '}]]",C,Number Theory Modules
805,1,Which of the following numbers is both an even number and a cube number? ,"[[{'aoVal': 'A', 'content': '$$3$$ '}], [{'aoVal': 'B', 'content': '$$16$$ '}], [{'aoVal': 'C', 'content': '$$64$$ '}], [{'aoVal': 'D', 'content': '$$125$$ '}], [{'aoVal': 'E', 'content': '$$180$$ '}]]",C,Multiplication Rules of Odd and Even Numbers
807,2,"Two apples cost $10$ cents, and two peaches cost $4$ cents. How much do one apple and one peach cost in total? (Adapted from 2019 Math Kangaroo Problem, Level 1-2, Question \#8) ","[[{'aoVal': 'A', 'content': '$5$ cents '}], [{'aoVal': 'B', 'content': '$6$ cents '}], [{'aoVal': 'C', 'content': '$7$ cents '}], [{'aoVal': 'D', 'content': '$8$ cents '}], [{'aoVal': 'E', 'content': '$9$ cents '}]]",C,Number Theory Modules
808,1,What number between $37$ and $47$ is exactly divisble by both $2$ and $3$? ,"[[{'aoVal': 'A', 'content': '$$38$$ '}], [{'aoVal': 'B', 'content': '$$39$$ '}], [{'aoVal': 'C', 'content': '$$42$$ '}], [{'aoVal': 'D', 'content': '$$44$$ '}], [{'aoVal': 'E', 'content': '$$45$$ '}]]",C,Common Factors and Common Multiples
809,1,Teacher Angel wrote the numbers $1$ to $20$ on a blackboard. How many times is the digit \textquotesingle$1$\textquotesingle{} written on the board? ,"[[{'aoVal': 'A', 'content': '$$9$$ '}], [{'aoVal': 'B', 'content': '$$10$$ '}], [{'aoVal': 'C', 'content': '$$11$$ '}], [{'aoVal': 'D', 'content': '$$12$$ '}], [{'aoVal': 'E', 'content': '$$13$$ '}]]",D,Understanding Numbers and Digits
812,1,"What is three million, ninety thousand and four in numeral? ","[[{'aoVal': 'A', 'content': '$$3009004$$ '}], [{'aoVal': 'B', 'content': '$$3900004$$ '}], [{'aoVal': 'C', 'content': '$$3090004$$ '}], [{'aoVal': 'D', 'content': '$$3000904$$ '}]]",C,Number Theory Modules
813,1,"Lan is $$2\textasciitilde cm$$ taller than George and George is $$3\textasciitilde cm$$ shorter than Kelly. If the Kelly is $$147\textasciitilde cm$$, what is Lan\textquotesingle s height? ","[[{'aoVal': 'A', 'content': '$$145$$ '}], [{'aoVal': 'B', 'content': '$$144$$ '}], [{'aoVal': 'C', 'content': '$$138$$ '}], [{'aoVal': 'D', 'content': '$$148$$ '}], [{'aoVal': 'E', 'content': '$$146$$ '}]]",E,Number Theory Modules
814,0,"$LCM[8,12]=$ ","[[{'aoVal': 'A', 'content': '$$4$$ '}], [{'aoVal': 'B', 'content': '$$24$$ '}], [{'aoVal': 'C', 'content': '$$48$$ '}], [{'aoVal': 'D', 'content': '$$96$$ '}]]",B,Least Common Multiple of Two Numbers
816,1,"Tom drove the car for $$150$$ km and consumed a quarter of the fuel tank. The average fuel consumption of this car is $$10$$ km/litre. If the fuel cost is $$$1.20$$ per litre, how much would he have to pay to fill an entire empty tank? ","[[{'aoVal': 'A', 'content': '$$$60$$ '}], [{'aoVal': 'B', 'content': '$$$70$$ '}], [{'aoVal': 'C', 'content': '$$$80$$ '}], [{'aoVal': 'D', 'content': '$$$72$$ '}], [{'aoVal': 'E', 'content': '$$$12$$ '}]]",D,Number Theory Modules
817,1,"John buys a farm with $$25$$ rabbits and chickens. If there are $$80$$ legs in total, find the number of chickens on the farm. ","[[{'aoVal': 'A', 'content': '$$15$$ '}], [{'aoVal': 'B', 'content': '$$10$$ '}], [{'aoVal': 'C', 'content': '$$16$$ '}], [{'aoVal': 'D', 'content': '$$14$$ '}], [{'aoVal': 'E', 'content': '$$12$$ '}]]",B,Number Theory Modules
818,0,Eight days after the day before yesterday is Friday. Which day of the week is tomorrow? ,"[[{'aoVal': 'A', 'content': 'Friday '}], [{'aoVal': 'B', 'content': 'Saturday '}], [{'aoVal': 'C', 'content': 'Sunday '}], [{'aoVal': 'D', 'content': 'Thursday '}], [{'aoVal': 'E', 'content': 'None of the above '}]]",C,Remainder Problems
820,2,"Using the octal system (base $6$ numeral system) to calculate $\left (243\right )\_6 + \left (15\right )\_6$, the answer should be． ","[[{'aoVal': 'A', 'content': '$\\left (302\\right )\\_6$ '}], [{'aoVal': 'B', 'content': '$\\left (258\\right )\\_6$ '}], [{'aoVal': 'C', 'content': '$\\left (331\\right )\\_6$ '}], [{'aoVal': 'D', 'content': '$\\left (262\\right )\\_6$ '}]]",A,Properties and Applications of Number Bases
821,0,"Is $$123$$ divisible by $$11$$? If not, what is the remainder? ． ","[[{'aoVal': 'A', 'content': '$$1$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}], [{'aoVal': 'C', 'content': '$$3$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",B,Congruence
823,1,"In the relay race, Tom ran $$100$$ metres in $$11$$ seconds and George ran $$10$$ metres more than Tom in the same time. What is the total distance covered by Tom and George? ","[[{'aoVal': 'A', 'content': '$$210m$$ '}], [{'aoVal': 'B', 'content': '$$250m$$ '}], [{'aoVal': 'C', 'content': '$$190m$$ '}], [{'aoVal': 'D', 'content': '$$200m$$ '}], [{'aoVal': 'E', 'content': '$$220m$$ '}]]",A,Number Theory Modules
831,1,"The factors of $$63$$ are $$1$$, $$3$$, $$7$$,~\uline{~~~~~~~~~~}~,~\uline{~~~~~~~~~~}~and $$63$$. ","[[{'aoVal': 'A', 'content': '$$7$$ and $$9$$ '}], [{'aoVal': 'B', 'content': '$$8$$ and $$9$$ '}], [{'aoVal': 'C', 'content': '$$9$$ and $$21$$ '}], [{'aoVal': 'D', 'content': '$$11$$ and $$21$$ '}]]",C,Basic Concepts of Factors and Multiples
833,1,I am thinking of a number. The number is smaller than $$40$$.  It can be found in both the multiplication tables of $$6$$ and $$8$$.  What number am I thinking of? ,"[[{'aoVal': 'A', 'content': '$$12$$ '}], [{'aoVal': 'B', 'content': '$$16$$ '}], [{'aoVal': 'C', 'content': '$$24$$ '}], [{'aoVal': 'D', 'content': '$$28$$ '}]]",C,Common Factors and Common Multiples
836,3,"For a positive integer~~the factorial notation n! represents the product of the integers from n to 1 (For example,~$6!=6\cdot5\cdot4\cdot3\cdot2\cdot1$) What value of N satisfies the following equation? $5!\cdot9!=12\cdot N!$ ","[[{'aoVal': 'A', 'content': '$$10$$ '}], [{'aoVal': 'B', 'content': '$$11$$ '}], [{'aoVal': 'C', 'content': '$$12$$ '}], [{'aoVal': 'D', 'content': '$$13$$ '}], [{'aoVal': 'E', 'content': '$$14$$ '}]]",A,Factors and Multiples
839,2,"How many positive three-digit integers have a remainder of 2 when divided by 6, a remainder of 5 when divided by 9, and a remainder of 7 when divided by 11? ","[[{'aoVal': 'A', 'content': '$$1$$ '}], [{'aoVal': 'B', 'content': '$$2$$ '}], [{'aoVal': 'C', 'content': '$$3$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}], [{'aoVal': 'E', 'content': '$$5$$ '}]]",E,Remainder Problems
841,1,Which of the following statements is incorrect? ,"[[{'aoVal': 'A', 'content': '$$108$$ is a multiple of $$3$$ and $$9$$ '}], [{'aoVal': 'B', 'content': '$$105$$ is a multiple of $$5$$, but it is not a multiple of $$10$$ '}], [{'aoVal': 'C', 'content': '$$164$$ is a multiple of $$4$$ '}], [{'aoVal': 'D', 'content': '$$134$$ is a multiple of $$6$$ '}]]",D,Common Factors and Common Multiples
844,4,"A 90 percent confidence interval for the slope of a regression line is determined to be (-0.181, 1.529). Which of the following statements must be true? ","[[{'aoVal': 'A', 'content': 'The correlation coefficient of the data is positive. '}], [{'aoVal': 'B', 'content': 'The sum of the residuals for the data based on the regression line is positive. '}], [{'aoVal': 'C', 'content': 'A scatterplot of the data would show a linear pattern. '}], [{'aoVal': 'D', 'content': 'The slope of the sample regression line is 1.348. '}], [{'aoVal': 'E', 'content': 'The slope of the sample regression line is 0. '}]]",A,Number Theory Modules
845,1,"In the number $$67 543$$, the digit~\uline{~~~~~~~~~~}~is in the ten thousands place. ","[[{'aoVal': 'A', 'content': '$$7$$ '}], [{'aoVal': 'B', 'content': '$$6$$ '}], [{'aoVal': 'C', 'content': '$$5$$ '}], [{'aoVal': 'D', 'content': '$$4$$ '}]]",B,Numbers
846,1,A cube~box with a size of~$$15 cm \times 15 cm \times 15 cm$$ is used to hold small cubes. The size of small cubes is $$3 cm \times 3 cm \times 3 cm$$. How many small cubes can this large cube box hold? ,"[[{'aoVal': 'A', 'content': '$$5$$ '}], [{'aoVal': 'B', 'content': '$$15$$ '}], [{'aoVal': 'C', 'content': '$$125$$ '}], [{'aoVal': 'D', 'content': '$$9$$ '}], [{'aoVal': 'E', 'content': '$$25$$ '}]]",C,Number Theory Modules
851,1,Write $$32$$ hundreds and $$4$$ ones in numerals. ,"[[{'aoVal': 'A', 'content': '$$3240$$ '}], [{'aoVal': 'B', 'content': '$$3204$$ '}], [{'aoVal': 'C', 'content': '$$360$$ '}], [{'aoVal': 'D', 'content': '$$324$$ '}]]",B,Numbers
852,0,Which is \textbf{NOT} a square number? ,"[[{'aoVal': 'A', 'content': '$$49$$ '}], [{'aoVal': 'B', 'content': '$$59$$ '}], [{'aoVal': 'C', 'content': '$$64$$ '}], [{'aoVal': 'D', 'content': '$$81$$ '}], [{'aoVal': 'E', 'content': '$$16$$ '}]]",B,Basic Applications of Square Numbers
857,4,"A survey of a random sample of 210 male teens and 228 female teens, ages 13 years to 17 years, found that 122 of the male teens and 160 of the female teens brush their teeth at least twice a day. If there is no difference between the proportions in the population of all male and female teens ages 13 years to 17 years who brush their teeth at least twice a day, approximately how many males and females in the sample would be expected to brush their teeth at least twice a day? ","[[{'aoVal': 'A', 'content': '105 males and 114 females '}], [{'aoVal': 'B', 'content': '122 males and 160 females '}], [{'aoVal': 'C', 'content': '135 males and 147 females '}], [{'aoVal': 'D', 'content': '141 males and 141 females '}], [{'aoVal': 'E', 'content': '219 males and 219 females '}]]",C,Number Theory Modules
858,1,"Gary, Ivan and Martin are doing arithmetic problems. The number of problems Gary does is three times that of Martin, and the number of problems Ivan does is two times that of Gary. Ivan does 15 to more problems than Martin. How many questions did they do altogether? ","[[{'aoVal': 'A', 'content': '$$25$$ '}], [{'aoVal': 'B', 'content': '$$15$$ '}], [{'aoVal': 'C', 'content': '$$20$$ '}], [{'aoVal': 'D', 'content': '$$35$$ '}], [{'aoVal': 'E', 'content': '$$30$$ '}]]",D,Number Theory Modules
861,1,What is the sum of the digits in the number $$2009$$? ,"[[{'aoVal': 'A', 'content': '$$7$$ '}], [{'aoVal': 'B', 'content': '$$11$$ '}], [{'aoVal': 'C', 'content': '$$12$$ '}], [{'aoVal': 'D', 'content': '$$18$$ '}]]",B,Understanding Numbers and Digits
865,1,I am thinking of a number. The number is smaller than $$40$$. It can be found in both the multiplication tables of $$6$$ and $$8$$. What number am I thinking of? ,"[[{'aoVal': 'A', 'content': '$$12$$ '}], [{'aoVal': 'B', 'content': '$$16$$ '}], [{'aoVal': 'C', 'content': '$$24$$ '}], [{'aoVal': 'D', 'content': '$$28$$ '}]]",C,Common Factors and Common Multiples
870,1,"The teacher writes a one-digit number first on the whiteboard, then writes the largest single digit to its right, and at last, adds $$38$$ to the number. The teacher gets a sum of $$117$$. Which one-digit number did the teacher write at first on the whiteboard? ","[[{'aoVal': 'A', 'content': '$$5$$ '}], [{'aoVal': 'B', 'content': '$$8$$ '}], [{'aoVal': 'C', 'content': '$$9$$ '}], [{'aoVal': 'D', 'content': '$$7$$ '}], [{'aoVal': 'E', 'content': '$$6$$ '}]]",D,Number Theory Modules
872,1,A number when divided by $$5$$ has a quotient of $$62$$ and a remainder of $$3$$.  What is the number? ,"[[{'aoVal': 'A', 'content': '$$186$$ '}], [{'aoVal': 'B', 'content': '$$191$$ '}], [{'aoVal': 'C', 'content': '$$310$$ '}], [{'aoVal': 'D', 'content': '$$313$$ '}]]",D,Questions involving Divisions with Remainders
873,2,"For any positive integer M, the notation M! denotes the product of the integers 1 through M. What is the largest integer n for which 5n is a factor of the sum 98! + 99! + 100! ? ","[[{'aoVal': 'A', 'content': '$$23$$ '}], [{'aoVal': 'B', 'content': '$$24$$ '}], [{'aoVal': 'C', 'content': '$$25$$ '}], [{'aoVal': 'D', 'content': '$$26$$ '}], [{'aoVal': 'E', 'content': '$$27$$ '}]]",D,Factors and Multiples
874,1,Cut four identical squares with a perimeter of $$4 cm$$ each at~the corner out~of a $$15 cm \times 6 cm$$ rectangle. What is the perimeter of the rest~of~the shape? ,"[[{'aoVal': 'A', 'content': '$$40cm$$ '}], [{'aoVal': 'B', 'content': '$$42cm$$ '}], [{'aoVal': 'C', 'content': '$$90cm$$ '}], [{'aoVal': 'D', 'content': '$$58cm$$ '}], [{'aoVal': 'E', 'content': '$$50cm$$ '}]]",B,Number Theory Modules
879,4,"A 40-kg box slides down an incline that is angled 30$^{\circ}$ above the horizontal. The box starts from rest at a height of 8 m, and the coefficient of kinetic friction is 0.2. What is the total work done on the box as it slides to the bottom of the incline? ","[[{'aoVal': 'A', 'content': '$$1109J$$ '}], [{'aoVal': 'B', 'content': '$$2091J$$ '}], [{'aoVal': 'C', 'content': '$$3200J$$ '}], [{'aoVal': 'D', 'content': '$$4390J$$ '}]]",B,Number Theory Modules
880,1,"During Easter, tickets are $$$6$$ for a single person and $$$18$$ for a family ($$2$$ adults and $$2$$ children). What is the difference in price between $$4$$ single tickets and a family ticket? ","[[{'aoVal': 'A', 'content': '$$$13$$ '}], [{'aoVal': 'B', 'content': '$$$3$$ '}], [{'aoVal': 'C', 'content': '$$$4$$ '}], [{'aoVal': 'D', 'content': '$$$6$$ '}], [{'aoVal': 'E', 'content': '$$$12$$ '}]]",D,Number Theory Modules
884,1,Find the difference between the values of the digit $$5$$ in $$5034$$ and $$3054$$. ,"[[{'aoVal': 'A', 'content': '$$1980$$ '}], [{'aoVal': 'B', 'content': '$$4950$$ '}], [{'aoVal': 'C', 'content': '$$5050$$ '}], [{'aoVal': 'D', 'content': '$$8088$$ '}]]",B,Numbers
890,2,"If I fold a square into two equal parts, the two parts can\textquotesingle t be ","[[{'aoVal': 'A', 'content': 'rectangle '}], [{'aoVal': 'B', 'content': 'parallelogram '}], [{'aoVal': 'C', 'content': 'square '}], [{'aoVal': 'D', 'content': 'trapezoid '}], [{'aoVal': 'E', 'content': 'triangle '}]]",C,Number Theory Modules
891,1,$$48$$ is not a multiple of ． ,"[[{'aoVal': 'A', 'content': '$$12$$ '}], [{'aoVal': 'B', 'content': '$$14$$ '}], [{'aoVal': 'C', 'content': '$$16$$ '}], [{'aoVal': 'D', 'content': '$$24$$ '}]]",B,Basic Concepts of Factors and Multiples
892,1,The houses on the street where Teacher Miu lives are numbered from 1 to 35.  How many times does the digit 3 appear in the numbering of those houses?~\uline{~~~~~~~~~~}~ ,"[[{'aoVal': 'A', 'content': '$$9$$ '}], [{'aoVal': 'B', 'content': '$$10$$ '}], [{'aoVal': 'C', 'content': '$$11$$ '}]]",B,Applying the Principle of Place Value
893,0,Calculate quickly  $1000\div8$ =． ,"[[{'aoVal': 'A', 'content': '$$5$$ '}], [{'aoVal': 'B', 'content': '$$25$$ '}], [{'aoVal': 'C', 'content': '$$125$$ '}]]",C,Division without Remainders
